COVID-19 Vaccinations in the United States
Date generated: Fri Jun 04 2021 19:30:41 GMT-0500 (Central Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,811285,110900,147089,616473,84270,593245,107557,340100,46.5,323873,58.7,290096,39.7,282985,51.3,402285,350300,58700,0,21222,269567,325591,93,124399,145926,19743,28,124086,139217,19654,28,270353,46.5,323873,58.7,37,263331,47.7,340100,73442,80.2,68822,75.1,39162,27513,2132,15,138335,151041,885798,339401,55.7,290070,47.6,124397,145904,19741,28,615757,101130,133243
Alabama,4606930,93958,120762,3032765,61853,3004093,78747,1771964,36.1,1751457,45.9,1440101,29.4,1431245,37.5,2242890,2083640,280400,0,99716,1464594,1468455,0,657321,680787,101901,92,657139,672158,101856,92,1338200,36.1,1751457,45.9,27.3,1329389,34.8,1771964,646627,76.1,555779,65.4,295407,231620,28695,57,1151709,135521,542096,1771663,42.3,1440083,34.4,657313,680781,101897,92,3032465,72428,110033
Arkansas,2780620,92141,119976,2095644,69443,2049333,88423,1202166,39.8,1168229,50.4,950289,31.5,937527,40.5,1359540,1242480,178600,0,69498,988999,1036589,558,440830,441412,67910,137,440117,429714,67566,130,882379,39.8,1168229,50.4,29.2,869961,37.5,1202166,398958,76.2,333912,63.7,193373,129615,10839,85,724760,138344,530772,1199787,46.9,950108,37.2,440826,441345,67800,137,2093169,81852,108735
American Samoa,54030,97021,124387,43052,77308,41410,95333,23807,42.7,22831,52.6,19403,34.8,18741,43.1,37830,15600,600,0,26,10464,32562,0,4507,14862,34,0,4494,14213,34,0,19369,42.7,22831,52.6,34.8,18707,43.1,23807,2576,27.2,2300,24.3,920,1373,7,0,4788,50576,570719,23806,50.1,19402,40.8,4506,14862,34,0,43050,90523,113611
Arizona,7855035,107918,139311,6015930,82651,5847228,103702,3396807,46.7,3275557,58.1,2648659,36.4,2605770,46.2,4156035,3269100,429900,0,192915,2630169,3188145,4701,1113715,1347637,185765,1542,1113436,1305143,185654,1537,2462894,46.7,3275557,58.1,33.8,2420116,42.9,3396807,1079457,82.5,906381,69.3,447766,422884,34796,935,2032975,155351,600247,3396455,54.7,2648586,42.7,1113702,1347613,185729,1542,6015493,96929,126570
Bureau of Prisons,192980,N/A,N/A,183751,N/A,183750,N/A,101155,N/A,101154,N/A,88226,N/A,88226,N/A,102960,79020,11000,0,6556,74442,102753,0,33662,48041,6523,0,33662,48041,6523,0,81703,N/A,101154,N/A,0,81703,0,101155,3248,0,2972,0,1435,1453,84,0,6172,0,0,101154,0,88226,0,33662,48041,6523,0,183750,0,0
California,47669160,120644,155692,38825789,98263,37357141,122012,22679601,57.4,21596052,70.5,17297403,43.8,16907613,55.2,25534860,19521900,2612400,0,1376619,16330061,21113783,5326,7040459,8890373,1365053,1518,7021914,8524807,1359411,1481,15932350,57.4,21596052,70.5,40.3,15548202,50.8,22679601,5315643,91.1,4221364,72.3,2178106,1900560,142088,610,9477329,162335,816516,22634278,67.3,17296265,51.4,7040075,8889885,1364788,1517,38779461,115256,141677
Colorado,6805360,118175,151257,5688458,98780,5471602,121612,3158783,54.9,3001635,66.7,2651999,46.1,2592209,57.6,3651180,2814280,339900,0,197919,2452348,3035502,2689,1119465,1336477,195203,854,1116668,1280351,194342,848,2456796,54.9,3001635,66.7,42.7,2397867,53.3,3158783,725699,86.1,653096,77.5,325183,309811,17838,264,1385721,164494,807842,3151691,63.9,2651806,53.7,1119454,1336313,195185,854,5681151,115095,137870
Connecticut,4590675,128760,161766,4071439,114197,3909670,137769,2273295,63.8,2155494,76,1930105,54.1,1889128,66.6,2472015,1868960,249700,0,158857,1614467,2297731,384,746071,1025197,158736,101,745731,984702,158602,93,1771369,63.8,2155494,76,49.7,1730526,61,2273295,589660,93.6,545509,86.6,215349,313837,16297,26,1132262,179655,728396,2272135,73.2,1929708,62.1,745873,1025067,158667,101,4069911,131036,147803
District of Columbia,1038545,147155,179809,795113,112662,785380,135977,405393,57.4,396479,68.6,330192,46.8,327956,56.8,569205,415240,54100,0,25117,315808,453968,220,127197,174160,28677,158,127165,171976,28659,156,301515,57.4,396479,68.6,42.7,299297,51.8,405393,72337,82.8,63370,72.6,36010,25371,1968,21,163571,187274,1189040,405326,66.5,330178,54.1,127193,174152,28675,158,795045,130388,170322
